dataset_id	tissue_general
d7476ae2-e320-4703-8304-da5c42627e71	liver
0895c838-e550-48a3-a777-dbcd35d30272	liver
fbd69faa-b0c5-45ba-89c9-da938a7f5a14	endocrine gland
00ff600e-6e2e-4d76-846f-0eec4f0ae417	immune system
bdacc907-7c26-419f-8808-969eab3ca2e8	brain
a5d95a42-0137-496f-8a60-101e17f263c8	blood
d3566d6a-a455-4a15-980f-45eb29114cab	bone marrow
d3566d6a-a455-4a15-980f-45eb29114cab	blood
de17ac25-550a-4018-be75-bbb485a0636e	eye
9f1049ac-f8b7-45ad-8e31-6e96c3e5058f	brain
703f00e6-b996-48e5-bc34-00c41b9876f4	lung
e347396c-a7ff-4691-9f7a-99a43555ca18	liver
a49d9109-1d0c-4b36-8139-19aa9a83428c	liver
524e045e-e74c-4e00-9884-d5c3bef3d862	liver
06b91002-4d3d-4d2e-8484-20c3b31e232c	brain
b94e3bdf-a385-49cc-b312-7a63cc28b77a	brain
0c9a8cfb-6649-4d52-b418-6d8e56bd7afe	liver
eec804b9-2ae5-44f0-a1b5-d721e21257de	respiratory system
df287f8d-f50d-4620-ab96-489d559e6adc	prostate gland
939d235c-50bd-41e1-83f5-d056d1aeae47	endocrine gland
4993d61c-1d04-4630-9c61-8d9431f39adc	liver
f9ad5649-f372-43e1-a3a8-423383e5a8a2	brain
ea426edb-4e86-4c53-ab17-5b952d94a31e	prostate gland
04d87de6-c20a-4186-8884-f47dba20b0a4	breast
b25f3834-69b3-4d87-a272-3938432d1f30	respiratory system
a24ecf77-c059-4dc5-8ca4-3b89d667b7f8	brain
a24ecf77-c059-4dc5-8ca4-3b89d667b7f8	head
6701d782-76f2-40e6-82f1-495350dd9a63	cortex
6701d782-76f2-40e6-82f1-495350dd9a63	brain
6701d782-76f2-40e6-82f1-495350dd9a63	head
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	stomach
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	esophagus
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	small intestine
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	esophagogastric junction
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	large intestine
94423ec1-21f8-40e8-b5c9-c3ea82350ca4	colon
2f6a20f1-173d-4b8d-860b-c47ffea120fa	eye
54999653-92b5-40e8-8438-0456ddb62cb2	endocrine gland
da684768-fb01-455b-9f0f-b63a3e2f844f	skin of body
a65bcc2d-4243-44c1-a262-ab7dcddfcf86	respiratory system
75a881cf-5d88-46e2-bf9b-97e5cbc1bd56	brain
0c86f0de-ddcb-454c-b00b-37feb69e7da1	breast
1009f384-b12d-448e-ba9f-1b7d2ecfbb4e	heart
44941fdb-8a6f-42d5-9b34-da48c2a3f774	breast
e763ed0d-0e5a-4b8e-9514-6da3d9e47956	blood
9f049476-2431-4645-a2d6-f6e85892b603	liver
d95ab381-2b7c-4885-b168-0097ed4e397f	eye
b3a5a10f-b1cb-4e8e-abce-bf345448625b	bone marrow
8775a6c6-b960-43ae-9f76-45c4acda3621	cortex
8775a6c6-b960-43ae-9f76-45c4acda3621	brain
8775a6c6-b960-43ae-9f76-45c4acda3621	head
e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b	respiratory system
62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93	respiratory system
3b6ed41e-10a1-47dd-b995-8cde7d041fd6	liver
9cfee1e6-b24f-433d-a269-f01841655d6a	eye
4269074c-f2c1-4d88-b2c3-0946f59d5449	small intestine
4269074c-f2c1-4d88-b2c3-0946f59d5449	colon
4269074c-f2c1-4d88-b2c3-0946f59d5449	digestive system
d973ea15-3722-4bc8-a0e8-1d956d26e203	nervous system
7d98cc44-b090-4dc8-804f-2750c84fe9d7	respiratory system
c3d381b2-3104-444e-8ad5-d3524407bbb6	eye
66d15835-5dc8-4e96-b0eb-f48971cb65e8	pancreas
8a554710-08bc-4005-87cd-da9675bdc2e7	blood
ce009dc1-ac57-4386-b72f-5c575701c253	respiratory system
dbf0bd35-87f8-4b25-bc90-a3c54f379907	respiratory system
c3431f48-81bd-4d7b-9045-e43be7645883	endocrine gland
9aef5aa0-03b0-4d74-a7b3-64b80184ea1d	exocrine gland
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	stomach
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	esophagus
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	esophagogastric junction
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	small intestine
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	colon
faed4f71-6b50-4fc7-bd1c-8f385dccfdce	large intestine
149b2c3f-ee11-47a7-984b-923570280bd7	brain
c8f83821-a242-4ed7-86e9-7da077f5d348	brain
c8f83821-a242-4ed7-86e9-7da077f5d348	central nervous system
c8f83821-a242-4ed7-86e9-7da077f5d348	spinal cord
731e6380-879f-4b0b-9a1f-2150208852ef	respiratory system
774c18c5-efa1-4dc5-9e5e-2c824bab2e34	brain
ea786a06-5855-48b7-80d7-0313a21a2044	blood
3e87b1fa-472a-401c-8fa8-f31c10437d5f	brain
f16f4108-7873-4035-9989-3748da1a7ff1	brain
f16f4108-7873-4035-9989-3748da1a7ff1	spinal cord
58679288-9ecc-4647-9781-12a3a8f8c6fd	colon
58679288-9ecc-4647-9781-12a3a8f8c6fd	small intestine
cdefb878-7f00-4b9d-9eda-b3652cfac0c8	lung
1492eb6b-7d50-4c4d-94ac-c801a7d5555c	brain
bdf69f8d-5a96-4d6f-a9f5-9ee0e33597b7	heart
601c7454-17ff-432c-8e0d-902bfddb8013	urinary bladder
ee195b7d-184d-4dfa-9b1c-51a7e601ac11	small intestine
9b188f26-c8e1-4a78-af15-622a35a371fc	esophagus
9b188f26-c8e1-4a78-af15-622a35a371fc	stomach
9b188f26-c8e1-4a78-af15-622a35a371fc	esophagogastric junction
9b188f26-c8e1-4a78-af15-622a35a371fc	small intestine
f6dafdd1-d746-407e-8019-4470e02d4cbd	lung
f6dafdd1-d746-407e-8019-4470e02d4cbd	respiratory system
24066994-8183-488d-b037-ef6bb524af39	brain
84242d25-f656-4ca6-8e8d-f3d2beeba11f	brain
84242d25-f656-4ca6-8e8d-f3d2beeba11f	central nervous system
84242d25-f656-4ca6-8e8d-f3d2beeba11f	spinal cord
fe2eecbc-977a-4aec-9196-f89c3281d11c	brain
d2bc2703-a9b5-4949-b85d-61da7b9961b1	mucosa
2fc9c59f-3cfd-48d9-9b23-e369ea31bff3	kidney
470565f2-5afc-456a-b617-18e4496c04fd	brain
4c6f9f26-5470-455b-8933-c408232fbf56	kidney
b07e5164-baf6-43d2-bdba-5a249d0da879	pancreas
7b3368a5-c1a0-4973-9e75-d95b4150c7da	lung
f75f2ff4-2884-4c2d-b375-70de37a34507	heart
cec9f9a5-8832-437d-99af-fb8237cde54b	eye
05a49baa-d326-42ae-86d2-94de3a659901	liver
20d87640-4be8-487f-93d4-dce38378d00f	kidney
81e91ff8-f619-4ad1-a0c3-b45e1dc63f68	brain
bf176af2-4432-4391-9b35-e21bd86ca4f8	liver
03d5794d-cde9-4769-a1a9-b3899d2b1d87	stomach
03d5794d-cde9-4769-a1a9-b3899d2b1d87	esophagus
03d5794d-cde9-4769-a1a9-b3899d2b1d87	esophagogastric junction
03d5794d-cde9-4769-a1a9-b3899d2b1d87	small intestine
03d5794d-cde9-4769-a1a9-b3899d2b1d87	large intestine
03d5794d-cde9-4769-a1a9-b3899d2b1d87	colon
dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503	brain
305c1196-76b3-42d1-818f-2694d01dbd97	ureter
cd77258f-b08b-4c89-b93f-6e6f146b1a4d	brain
04b0eb97-d816-44bb-93a5-8b2968791aa0	colon
04b0eb97-d816-44bb-93a5-8b2968791aa0	small intestine
04b0eb97-d816-44bb-93a5-8b2968791aa0	digestive system
51f476f7-b24d-42f3-8871-7dab3fa35e96	respiratory system
6dafb698-7a53-4699-ad13-1b5e2c164be7	brain
6dafb698-7a53-4699-ad13-1b5e2c164be7	spinal cord
6e00ccf7-0749-46ef-a999-dba785630d52	lung
62315937-e268-4fa5-a032-8f7d776f3a3f	lung
cab0bc48-744c-461b-aaf4-7bf2cb7af00d	blood
50eb1e23-b8d4-4f76-a184-44e5541fa05a	blood
2ecc72f8-085f-4e86-8692-771f316c54f6	brain
0d7f4c06-a6bd-47d2-a42b-3a7196704f77	brain
0d7f4c06-a6bd-47d2-a42b-3a7196704f77	spinal cord
e22c2ab4-c025-4804-b7a3-0b0ebd48c87a	lung
e22c2ab4-c025-4804-b7a3-0b0ebd48c87a	respiratory system
531c9543-9093-45ed-93ac-ebc5815bfb8a	brain
531c9543-9093-45ed-93ac-ebc5815bfb8a	spinal cord
1884e651-5f7f-4e6c-a71a-843ba272aaf4	axilla
af8b241a-c72c-4470-b1a4-80e7336c6ab6	eye
4859642c-d155-437b-adf5-83ca6c1bef67	brain
bbd16004-09e8-4b6c-b465-73ff83a52837	small intestine
bbd16004-09e8-4b6c-b465-73ff83a52837	digestive system
bbd16004-09e8-4b6c-b465-73ff83a52837	colon
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181	brain
e006d4e3-35fa-44b4-9981-09a66c4322e5	colon
e006d4e3-35fa-44b4-9981-09a66c4322e5	small intestine
e006d4e3-35fa-44b4-9981-09a66c4322e5	digestive system
3d044b52-140a-4528-bf0d-a2dbef9e1f40	brain
3d044b52-140a-4528-bf0d-a2dbef9e1f40	central nervous system
3d044b52-140a-4528-bf0d-a2dbef9e1f40	spinal cord
01c93cf6-b695-4e30-a26e-121ae8b16a9e	blood
73b7d0aa-035f-4a15-9f1d-f56b70204591	respiratory system
856c1b98-5727-49da-bf0f-151bdb8cb056	eye
91b2327d-e3f3-4f63-b446-20774d20fc33	brain
91b2327d-e3f3-4f63-b446-20774d20fc33	cortex
f9cfac8d-bff6-47a2-a1f6-503827d375f5	brain
cd4c96bb-ad66-4e83-ba9e-a7df8790eb12	bone marrow
2dd73feb-0527-47d5-8c7b-35b6de16aecb	liver
50dc91a1-36b6-472a-b884-7307b6961ab1	brain
50dc91a1-36b6-472a-b884-7307b6961ab1	spinal cord
84230ea4-998d-4aa8-8456-81dd54ce23af	blood
c874f155-9bf9-4928-b821-f52c876b3e48	blood
79ef1959-a6b4-4cac-82ca-30feaec48df1	blood
80d7111d-f9fe-49fd-871e-6e618312c341	large intestine
f54647ec-0c03-4775-8dac-5a477c10a3f5	immune system
f801b7a9-80a6-4d09-9161-71474deb58ae	kidney
7b75b2c4-6d99-40be-9a61-391455d859e6	eye
5e7fff82-b8eb-4220-bf65-c6feb6765ea1	brain
a9bedd04-51cb-42ad-83fe-cd749de71f1b	ovary
ed9e9f96-4f08-49d2-bef5-b2c29adf3edc	blood
c42c8ad3-9761-49e5-b9bf-ee8ebd50416f	colon
c42c8ad3-9761-49e5-b9bf-ee8ebd50416f	digestive system
c42c8ad3-9761-49e5-b9bf-ee8ebd50416f	small intestine
4e74d843-8d7a-497a-918a-f079ef141b6d	colon
2d31c0ca-0233-41ce-bd1a-05aa8404b073	kidney
248cf7bf-508b-4c28-a2fd-cabe2ab956aa	small intestine
236baeda-5fdd-41bf-8e32-bae21ac7d435	brain
acf818eb-f6d2-42b9-bb1d-475aa9cff2bb	fallopian tube
63bb6359-3945-4658-92eb-3072419953e4	stomach
63bb6359-3945-4658-92eb-3072419953e4	small intestine
63bb6359-3945-4658-92eb-3072419953e4	esophagus
63bb6359-3945-4658-92eb-3072419953e4	colon
63bb6359-3945-4658-92eb-3072419953e4	large intestine
63bb6359-3945-4658-92eb-3072419953e4	esophagogastric junction
a43aa46b-bd16-47fe-bc3e-19a052624e79	liver
82346769-8733-485e-ab49-f14923d2b5bc	brain
f3ee7613-b27f-4deb-a5aa-1d4f9a2db963	heart
2f7230e7-4706-4924-b571-473fc1e52c30	respiratory system
ea7b95cf-1967-4431-9ee8-ec85ff793360	cortex
ea7b95cf-1967-4431-9ee8-ec85ff793360	brain
ea7b95cf-1967-4431-9ee8-ec85ff793360	head
810ac45f-8969-4698-b42c-652f802f75c2	lung
214bf9eb-93db-48c8-8e3c-9bb22fa3bc63	lung
4ce8d8ec-b94c-4b79-afcb-b094336d8a78	liver
881fe679-c6e0-45a3-9427-c4e81be6921f	blood
fc0ceb80-d2d9-47c1-9d78-b0e45c64c500	brain
f8c77961-67a7-4161-b8c2-61c3f917b54f	eye
d3d4baff-d142-4f13-acc6-96a4ef6a3e95	ovary
0fdb6122-4600-40f0-a703-2da47cc7080d	heart
5f4556b6-017e-49b3-b31c-c6e8e226c9fb	spleen
5f4556b6-017e-49b3-b31c-c6e8e226c9fb	lymph node
5f4556b6-017e-49b3-b31c-c6e8e226c9fb	small intestine
5f4556b6-017e-49b3-b31c-c6e8e226c9fb	lung
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5	brain
ea01c125-67a7-4bd3-a8b0-e1b53a011b7e	kidney
93a3b257-359b-4266-b23f-64875d37a9e3	endocrine gland
ae5341b8-60fb-4fac-86db-86e49ee66287	blood
f156606a-dd9a-49fd-bc40-0e069b6cf07c	respiratory system
76af615b-12fe-4ebb-b8c6-239ad29e26e3	liver
a5b5d1f3-dd8b-44f6-a685-15f0f741c062	brain
a41202e6-173c-477c-8b4d-e0688ee1c4cb	breast
bd3e3487-c1e6-4298-b9de-8bdcf3f938d7	respiratory system
b4f2c50e-080f-4d37-aa21-911d2273b0da	digestive system
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7	lung
4a90bbba-df97-4a28-83ae-7386fe7d9167	exocrine gland
cfa755c1-48c5-4336-94f4-aa95eca4fbd5	brain
cfa755c1-48c5-4336-94f4-aa95eca4fbd5	spinal cord
b550fd94-97e0-42e2-90f7-7434781ea2f8	liver
492d9f77-c4c8-485d-92d7-7686fe6c8482	respiratory system
2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb	brain
396a9124-fb20-4822-bf9c-e93fdf7c999a	breast
ab5b2256-b209-48b5-a801-c5d9a8c0de56	eye
2a65bd41-4a3f-42f4-98b2-c53962811152	ovary
ff4cfa86-9c0c-4b7c-abd6-90547657d04f	chest wall
06ef6b36-6c9b-4e10-8a94-d0baf274276e	tendon of semitendinosus
14363b6e-3428-45b0-8704-10fd5d6316df	skin of body
14363b6e-3428-45b0-8704-10fd5d6316df	scalp
577b8c6e-892b-4d62-b140-1fdca940a649	endocrine gland
bdd109f1-ca27-45dc-bb9f-473008449428	skeletal system
a1b9c51e-a408-4f7f-bccb-abefe20ae2a5	brain
f5be4b96-f5a3-4c3d-84ac-6f69daf744d5	brain
11a3244a-6b2f-43ca-95a5-d2cd95c482d2	breast
8039c63d-08b0-4fc9-af0f-5b57f08ca0da	brain
124744b8-4681-474a-9894-683896122708	skin of body
cd6398a9-c0af-4467-9091-c536866535bd	liver
f1f123cc-ca2c-460f-b7f1-88240efb1e82	skin of body
1f1c5c14-5949-4c81-b28e-b272e271b672	ovary
4dd1cd23-fc4d-4fd1-9709-602540f3ca6f	brain
ed11cc3e-2947-407c-883c-c53b043917c3	brain
9b686bb6-1427-4e13-b451-7ee961115cf9	brain
d5452b83-7c3d-4d7c-ab7a-c7fece7196c5	brain
a6c0143c-11f7-4a54-8710-6b427b78873a	liver
873ff933-4fda-4936-9a70-67df11af90ac	brain
c52de62a-058d-4d78-a464-bdf552378f43	kidney
c7d0def0-2dcd-4111-902b-67e6baeac119	liver
bad6524a-f122-4e9f-927c-cc7776674d5e	exocrine gland
5b25a46f-f1cf-4caa-9e10-6ab81dfe9174	blood
1a7e99fe-d5b6-44d7-aa50-c6ef6ab29761	blood
07428d73-fdea-4bd4-a801-94b00c4d961c	brain
12c868c6-94df-48b5-acf2-b82f6aa14074	axilla
54ea5aba-3413-4c6b-a925-b4f1635d6580	ureter
43560d7c-acd6-4ede-830d-c9ffc6cd0862	liver
894573ad-498f-47ee-9bec-ad0880147eea	brain
894573ad-498f-47ee-9bec-ad0880147eea	central nervous system
894573ad-498f-47ee-9bec-ad0880147eea	spinal cord
3e4e2c8e-cd17-4ece-9141-1e7f4ce8da1f	pleural fluid
8a95341f-f023-4bff-a1d5-52c7003ab65a	mucosa
8a95341f-f023-4bff-a1d5-52c7003ab65a	digestive system
c05fb583-eb2f-4e3a-8e74-f9bd6414e418	bone marrow
bfd542a3-919c-4216-a314-322f2520d46c	embryo
364348b4-bc34-4fe1-a851-60d99e36cafa	brain
c5cfa2b7-abb1-4a50-908f-707b54ca606b	brain
42b6a476-c51d-4f8b-b68b-44941b3a11bf	vasculature
5cdbb2ea-c622-466d-9ead-7884ad8cb99f	eye
db59611b-42de-4035-93aa-1ed39f38b467	blood
8d73847b-33e7-48f0-837f-e3e6579bf12d	endocrine gland
36c867a7-be10-4e69-9b39-5de12b0af6da	small intestine
ec423499-4564-4ab4-a7c2-316c72788ead	liver
1a018108-b4b6-457b-ba15-046d5e98c169	brain
eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569	blood
54d56674-e4e1-4e3c-9110-ea5cc2ac0eb5	liver
2727d83a-0af0-443a-bff8-58dc7028289a	brain
6e4acdae-59ef-452b-a6d4-260cba368586	eye
6e4acdae-59ef-452b-a6d4-260cba368586	large intestine
6e4acdae-59ef-452b-a6d4-260cba368586	small intestine
6e4acdae-59ef-452b-a6d4-260cba368586	colon
6e4acdae-59ef-452b-a6d4-260cba368586	heart
24584be9-d3d5-49c3-a042-99c18fe324db	brain
00476f9f-ebc1-4b72-b541-32f912ce36ea	brain
77044335-0ac5-4406-9b3f-8cdd3656d67b	brain
adda0684-f8ea-4403-b393-2a25607077c4	brain
83b5e943-a1d5-4164-b3f2-f7a37f01b524	heart
63b0a978-5820-4c3a-96a8-af098c1b0166	endocrine gland
78f40dd6-ed22-470d-8547-6fb5746c25da	brain
8fcf0ccc-67b2-43a3-90be-075f85169bef	respiratory system
fbf173f9-f809-4d84-9b65-ae205d35b523	brain
8623d55f-d91c-41c2-ae68-ed2072fd268d	eye
b3d060c6-bbd7-4db0-9ef7-9df42475875a	lung
b3d060c6-bbd7-4db0-9ef7-9df42475875a	respiratory system
ca20e2ac-5676-4158-b5d0-0c2b15898b19	brain
32e8a3d7-7b15-4f80-a0ff-6d2fc531e972	musculature
de94c504-4b58-4f42-b68d-74a8e4892f0e	skin of body
9038a71d-81a7-4bc7-82c2-186c26d5c3d6	musculature
6a270451-b4d9-43e0-aa89-e33aac1ac74b	colon
6a270451-b4d9-43e0-aa89-e33aac1ac74b	intestine
6a270451-b4d9-43e0-aa89-e33aac1ac74b	large intestine
d7d7e89c-c93a-422d-8958-9b4a90b69558	blood
494faa16-c42d-4b66-8667-f66a3bcacb01	liver
30f5e171-83d7-4fc0-bf75-384f122346b3	fallopian tube
71513028-e4a0-4c62-a435-16598791690a	liver
bd6b68e8-179a-42f0-9bde-b4fdf7d34dd1	brain
bd6b68e8-179a-42f0-9bde-b4fdf7d34dd1	spinal cord
bc7260e0-54cf-4b0b-823d-93f5b850f757	eye
24ec2dc5-3573-4d66-a9e1-25b7dcf43e27	breast
e0549fbf-cf9c-401a-b85f-6ba00d916e43	exocrine gland
3241c34f-581a-4de3-81fe-28e3de182680	blood
fbdd8c17-b34a-4cbc-abc4-1aeaa294a538	exocrine gland
d9b4bc69-ed90-4f5f-99b2-61b0681ba436	blood
090da8ea-46e8-40df-bffc-1f78e1538d27	spinal cord
49dbdcb6-f1d5-4423-9999-1e4a6b67d10b	hindlimb
49dbdcb6-f1d5-4423-9999-1e4a6b67d10b	forelimb
4e38f019-f8e8-44ae-ad32-ba500de6f64c	eye
08073b32-d389-41f4-a4fd-616de76915ab	kidney
82f6af6d-5313-439a-9936-5e844be49a70	brain
738942eb-ac72-44ff-a64b-8943b5ecd8d9	blood
9df60c57-fdf3-4e93-828e-fe9303f20438	kidney
39f6fec9-2539-4b99-982b-f12888ef649a	axilla
f15e263b-6544-46cb-a46e-e33ab7ce8347	heart
03d38670-1444-4001-bc53-9936e61d9b20	brain
a59ba9fa-1407-4f15-8c56-d3637421570d	brain
274968bf-96bf-4670-a85b-afe1cebb7c7d	adipose tissue
1405dd3e-d852-4bdd-80ad-a935eca0e78c	adipose tissue
cda48edf-331d-4ada-96ea-104ccb3147dd	adipose tissue
22658f4f-9268-41ad-8828-cc53f4baa9fa	brain
5ba85070-a41c-4184-9c18-cf34c3fd0f62	prostate gland
f854421b-d231-4231-9b23-fc3be7fbee45	musculature
2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6	brain
6929d6d1-6f81-44d7-bd35-5a580259af81	brain
343ff97c-85df-494b-8400-beb937618611	bone marrow
e8a11a27-9c47-4673-b65d-11b9cd6065e1	lung
933497dc-7592-4532-9056-b9941547b3ac	breast
ff995299-bf56-4d11-914d-b77949f02fb1	adipose tissue
f15af735-2677-444e-8963-6a88cd9510e3	adipose tissue
99efb290-fbe3-4739-909d-859e058f54aa	adipose tissue
7970bd6b-f752-47a9-8643-2af16855ec49	immune system
84f1a631-910b-4fbb-9f76-d915a07316d2	heart
325044a1-4766-4104-8da9-abdfd1397e74	adipose tissue
4cdd25a4-f4fa-4c13-b8a9-80cf28511d46	breast
8dc29642-be06-46dc-a289-8075915745d4	kidney
d45aca3a-ddb8-4185-a462-eff1e0c7af2e	sensory system
d45aca3a-ddb8-4185-a462-eff1e0c7af2e	peripheral nervous system
40569510-2282-461b-84df-6218ef208e0e	brain
be884a28-0eac-4eca-9c23-1294a93cf56e	brain
b8681124-aabf-4904-b9c9-66d834bf5bba	brain
381aa407-317a-40ef-8048-7ce0eacc4266	brain
9ec335f2-420a-45a8-b45a-1ab646e50041	brain
f8d8b443-bca6-4c3c-9042-669dfb7f8030	brain
e04daea4-4412-45b5-989e-76a9be070a89	lung
e04daea4-4412-45b5-989e-76a9be070a89	blood
489318a0-24c3-4f5c-b105-f084ed0ea026	eye
8dc858b0-b076-4326-94bb-7c2d1cd721a3	lung
693ae928-96ba-47de-b9d9-1321c675bfcd	blood
97d9238c-1a39-4873-b0bb-963ec2d788e6	fallopian tube
97d9238c-1a39-4873-b0bb-963ec2d788e6	uterus
97d9238c-1a39-4873-b0bb-963ec2d788e6	abdomen
97d9238c-1a39-4873-b0bb-963ec2d788e6	omentum
97d9238c-1a39-4873-b0bb-963ec2d788e6	ovary
97d9238c-1a39-4873-b0bb-963ec2d788e6	intestine
97d9238c-1a39-4873-b0bb-963ec2d788e6	colon
97d9238c-1a39-4873-b0bb-963ec2d788e6	urinary bladder
97d9238c-1a39-4873-b0bb-963ec2d788e6	musculature
97d9238c-1a39-4873-b0bb-963ec2d788e6	liver
97d9238c-1a39-4873-b0bb-963ec2d788e6	large intestine
97d9238c-1a39-4873-b0bb-963ec2d788e6	lymph node
97d9238c-1a39-4873-b0bb-963ec2d788e6	paracolic gutter
35c8a04c-8639-4d15-8228-765d8d93fc96	brain
d5c67a4e-a8d9-456d-a273-fa01adb1b308	eye
290d50c7-7158-4198-acf5-6d4b624fd3dc	reproductive system
6cf3634d-e911-44ad-bf52-c747a9af3c01	colon
9ea768a2-87ab-46b6-a73d-c4e915f25af3	kidney
4ebcbeeb-2208-4d30-acb2-8142a5201814	lung
4ebcbeeb-2208-4d30-acb2-8142a5201814	respiratory system
d1cbed97-d88f-4954-8925-13302fe30b39	liver
e2a3c32d-71e2-4f38-b19c-dfcb8729cf46	prostate gland
1851b6ab-2386-40a1-8c2a-b7cd895b889e	musculature
68b6114f-e990-4033-bfb3-c35536633aaa	exocrine gland
07b1d7c8-5c2e-42f7-9246-26f746cd6013	brain
2dd9d7a2-4bee-4c3f-a1f5-89bc3271c4f0	urinary bladder
93325b5c-19bb-4481-aeda-738209650945	mucosa
64767efb-49b0-4562-a1bd-e619a5d9db41	brain
e22482ee-19e8-40bc-9f6e-541dc3c82c20	bone marrow
f20f44ef-a0d4-4d94-87de-037fd47141f0	brain
968885c5-b652-48d9-9006-c34b5fc1c07a	uterus
055ca631-6ffb-40de-815e-b931e10718c0	blood
460dfe21-0550-4521-92fe-db0f3036d8b0	blood
55ca4411-8c7d-4aef-a572-50852e030c05	digestive system
cfa3c355-ee77-4fc8-9a00-78e61d23024c	lymph node
8e47ed12-c658-4252-b126-381df8d52a3d	small intestine
ea251de5-c764-4f7c-add0-8141b1061faf	cortex
ea251de5-c764-4f7c-add0-8141b1061faf	brain
